Categories,Sum_Categories
AFC,212
Announcements,84
Bike Program,25
Maintenance and Equipment,482
Parking,215
Passenger Information,156
Police,616
Policies,321
Quality of Life,338
Service,726
Station Cleanliness,299
Train Cleanliness,192
Trains,242
,3908
